SN,start_lat,end_lat,start_lng,end_lng
1,29.78333333,29.83333333,80.81361111,80.88333333
2,27.25833333,27.32777778,87.65555556,87.7
3,29.5,29.56666667,81.08333333,81.23333333
4,28.05,28.12472222,86.14555556,86.19583333
5,27.96333333,27.98638889,85.175,85.19027778
6,27.75833333,27.81638889,86.18333333,86.24166667
7,29.75,29.84166667,81.25,81.3125
8,28.98611111,29.05277778,82.54166667,82.58805556
9,27.75916667,27.81888889,85.86361111,85.90388889
10,27.55194444,27.58694444,86.15722222,86.24111111
11,27.48611111,27.52138889,86.3,86.36222222
12,28.45833333,28.51944444,83.34555556,83.385
13,28.11666667,28.16666667,85,85.05833333
14,28.43472222,28.47888889,83.60083333,83.64277778
15,28.53805556,28.57694444,83.66666667,83.71666667
