sn,start_lat,end_lat,start_lng,end_lng
1,28.7,28.97222222,81.41666667,81.59166667
2,27.5,27.58333333,87.2,87.33333333
3,29.5625,29.60138889,82.41666667,82.55
4,27.36027778,27.44166667,86.66666667,86.72666667
5,27.55833333,27.66666667,86.66666667,86.72666667
6,28.12861111,28.16666667,85.30111111,85.3525
7,28.96944444,29.03055556,82.58333333,82.75
8,28.175,28.23444444,85.33333333,85.375
9,28.40722222,28.48861111,83.82777778,83.89777778
10,28.96666667,29.03333333,82.75,82.875
11,28.38333333,28.64583333,81.83333333,82.08333333
12,28.28833333,28.44027778,84.86611111,84.94888889
13,27.11388889,27.35972222,86.58333333,86.73777778
14,27.03444444,27.225,87.52416667,87.7575
15,27.33333333,27.41666667,87.58333333,87.66666667
16,28.73888889,28.77805556,81.97194444,82.07444444
17,27.91666667,27.98333333,83.58333333,83.75
